system:index,Mukey,SOC 0-30C,prop,b1,b2,b3,b4,b5,b6,b7,b8,b8a,b9,b10,b11,b12,QA10,QA20,QA60,,,,,,,,
0,1899416,241.0,Not prime farmland,0.023800000548362700,0.03480000048875810,0.05169999971985820,0.051100000739097600,0.08429999649524690,0.1590999960899350,0.1860000044107440,0.19179999828338600,0.2012999951839450,0.20389999449253100,0.16169999539852100,0.11569999903440500,0.008500000461936000,0.09520000219345090,3.9999998989515E-04,0.0052999998442828700,0.0052999998442828700,0.003700000001117590,0.0,0.0,0.0,0.0,0.0,-0.03140648454427720
1,1899416,241.0,Not prime farmland,0.027400000020861600,0.04019999876618390,0.05689999833703040,0.06499999761581420,0.09099999815225600,0.14329999685287500,0.16590000689029700,0.17069999873638200,0.1800999939441680,0.18389999866485600,0.15189999341964700,0.11219999939203300,0.01209999993443490,0.09650000184774400,5.00000023748726E-04,0.0066999997943639800,0.005900000222027300,0.00419999985024333,0.0,0.0,0.0,0.0,0.0,0.014025273732841000
2,487659,166.0,Not prime farmland,0.08380000293254850,0.09459999948740010,0.11909999698400500,0.1527000069618230,0.1688999980688100,0.1776999980211260,0.18559999763965600,0.19269999861717200,0.1940000057220460,0.19339999556541400,0.25200000405311600,0.2126999944448470,0.010200000368058700,0.07109999656677250,5.00000023748726E-04,0.015599999576807000,0.012199999764561700,0.009700000286102300,6.99999975040555E-04,0.0,0.0,0.0,0.0,0.16965320706367500
3,487659,166.0,Not prime farmland,1.99999994947575E-04,0.011699999682605300,0.03319999948143960,0.053700000047683700,0.06930000334978100,0.07850000262260440,0.08649999648332600,0.09300000220537190,0.0957999974489212,0.11249999701976800,0.13349999487400100,0.09960000216960910,0.01549999974668030,0.0494999997317791,6.99999975040555E-04,0.00559999980032444,0.0035000001080334200,0.0013000000035390300,9.99999974737875E-05,0.0,0.0,0.0,0.0,0.2826310396194460
4,487659,166.0,Not prime farmland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5,487659,166.0,Not prime farmland,0.005200000014156100,0.031300000846386000,0.05770000070333480,0.08380000293254850,0.09719999879598620,0.10530000180006000,0.11180000007152600,0.12030000239610700,0.12349999696016300,0.12380000203847900,0.1906999945640560,0.14399999380111700,0.014999999664723900,0.04780000075697900,5.00000023748726E-04,0.00860000029206276,0.005900000222027300,0.0031999999191612000,1.99999994947575E-04,0.0,0.0,0.0,0.0,0.28842994570732100
6,487659,166.0,Not prime farmland,0.027400000020861600,0.03370000049471860,0.05559999868273740,0.07039999961853030,0.10300000011920900,0.17229999601841000,0.19449999928474400,0.2045000046491620,0.2093999981880190,0.21320000290870700,0.2312999963760380,0.1680999994277950,0.010999999940395400,0.03680000081658360,3.9999998989515E-04,0.007199999876320360,0.005799999926239250,0.0035000001080334200,0.0,0.0,0.0,0.0,0.0,0.11761438101530100
7,487659,166.0,Not prime farmland,0.03709999844431880,0.04899999871850010,0.07159999758005140,0.09309999644756320,0.1111999973654750,0.12330000102520000,0.13130000233650200,0.13459999859333000,0.14190000295639000,0.13670000433921800,0.17430000007152600,0.14710000157356300,0.009700000286102300,0.08259999752044680,5.00000023748726E-04,0.009499999694526200,0.007300000172108410,0.005100000184029340,0.0,0.0,0.0,0.0,0.0,0.18580932915210700
8,487659,166.0,Not prime farmland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9,487659,166.0,Not prime farmland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
